"BQNRafael Hernandez", Aguadilla, PR,BQN,"Rafael Hernandez"
"BROBrownsvilleSouth Padre Island International", Brownsville, TX,BRO,"BrownsvilleSouth Padre Island International"
"BRWWiley Post-Will Rogers Memorial", Barrow, AK,BRW,"Wiley Post-Will Rogers Memorial"
"BTMBert Mooney", Butte, MT,BTM,"Bert Mooney"
"BTRBaton Rouge Metropolitan", Baton Rouge, LA,BTR,"Baton Rouge Metropolitan"
"BTVBurlington International", Burlington, VT,BTV,"Burlington International"
"BUFBuffalo Niagra International", Buffalo, NY,BUF,"Buffalo Niagra International"
"BURBob Hope", Burbank, CA,BUR,"Bob Hope"
"BWIBaltimoreWashington International", Baltimore, MD,BWI,"BaltimoreWashington International"
"BZNGallatin Field", Bozeman, MT,BZN,"Gallatin Field"
"CAEColumbia Metropolitan", Columbia, SC,CAE,"Columbia Metropolitan"
"CAKAkron-Canton", AkronCanton, OH,CAK,"Akron-Canton"
"CDCCedar City Regional", Cedar City, UT,CDC,"Cedar City Regional"
"CDVCordova-Mile 13", Cordova, AK,CDV,"Cordova-Mile 13"
"CECJack Mc Namara Field", Crescent City, CA,CEC,"Jack Mc Namara Field"
"CHALovell Field", Chattanooga, TN,CHA,"Lovell Field"
"CHOCharlottesville-Albemarle", Charlottesville, VA,CHO,"Charlottesville-Albemarle"
"CHSCharleston International", Charleston, SC,CHS,"Charleston International"
"CICChico Muni", Chico, CA,CIC,"Chico Muni"
"CIDThe Eastern Iowa", Cedar Rapids, IA,CID,"The Eastern Iowa"
"CLDMcClellan-Palomar", Carlsbad, CA,CLD,"McClellan-Palomar"
"CLECleveland Hopkins International", Cleveland, OH,CLE,"Cleveland Hopkins International"
"CLLEasterwood Field", College Station, TX,CLL,"Easterwood Field"
"CLTCharlotte Douglas International", Charlotte, NC,CLT,"Charlotte Douglas International"
"CMHPort Columbus International", Columbus, OH,CMH,"Port Columbus International"
"CMIUniversity of Illinois-Willard", Champaign, IL,CMI,"University of Illinois-Willard"
"CODYellowstone Regional", Cody, WY,COD,"Yellowstone Regional"
"COSColorado Springs", Colorado Springs, CO,COS,"Colorado Springs"
"CPRNatrona County Intl", Casper, WY,CPR,"Natrona County Intl"
"CRPCorpus Christi International", Corpus Christi, TX,CRP,"Corpus Christi International"
"CRWYeager", Charleston, WV,CRW,"Yeager"
"CSGColumbus Metropolitan", Columbus, GA,CSG,"Columbus Metropolitan"
"CVGCincinnatiNorthern Kentucky International", Cincinnati, OH,CVG,"CincinnatiNorthern Kentucky International"
"DABDaytona Beach International", Daytona Beach, FL,DAB,"Daytona Beach International"
"DALDallas Love Field", DallasFt. Worth, TX,DAL,"Dallas Love Field"
"DAYDayton International", Dayton, OH,DAY,"Dayton International"
"DBQDubuque Regional", Dubuque, IA,DBQ,"Dubuque Regional"
"DCARonald Reagan Washington National", Washington, DC,DCA,"Ronald Reagan Washington National"
"DENDenver International", Denver, CO,DEN,"Denver International"
"DFWDallasFt.Worth International", DallasFt. Worth, TX,DFW,"DallasFt.Worth International"
"DHNDothan Regional", Dothan, AL,DHN,"Dothan Regional"
"DLGDillingham", Dillingham, AK,DLG,"Dillingham"
"DLHDuluth International", Duluth, MN,DLH,"Duluth International"
"DRODurango-La Plata County", Durango, CO,DRO,"Durango-La Plata County"
"DSMDes Moines International", Des Moines, IA,DSM,"Des Moines International"
"DTWDetroit Metropolitan Wayne County", Detroit, MI,DTW,"Detroit Metropolitan Wayne County"
